83,2021-08-30 14:52:57+00,TRUE,Bin Alsarayat,EG,1
84,2021-08-30 14:52:57+00,TRUE,Kit Kat,EG,1
85,2021-08-30 14:52:57+00,TRUE,Mohandessin,EG,1
86,2021-08-30 14:52:57+00,TRUE,Faisal,EG,1
87,2021-08-30 14:52:57+00,TRUE,Abu Rawash,EG,1
88,2021-08-30 14:52:57+00,TRUE,Hadayek Alahram,EG,1
89,2021-08-30 14:52:57+00,TRUE,Haraneya,EG,1
90,2021-08-30 14:52:57+00,TRUE,Hadayek October,EG,1
91,2021-08-30 14:52:57+00,TRUE,Saft Allaban,EG,1
92,2021-08-30 14:52:57+00,TRUE,Smart Village,EG,1
93,2021-08-30 14:52:57+00,TRUE,Ard Ellwaa,EG,1
94,2021-08-30 14:52:57+00,TRUE,Abu Qir,EG,1
95,2021-08-30 14:52:57+00,TRUE,Al Ibrahimeyah,EG,1
96,2021-08-30 14:52:57+00,TRUE,Azarita,EG,1
97,2021-08-30 14:52:57+00,TRUE,Anfoushi,EG,1
98,2021-08-30 14:52:57+00,TRUE,Dekheila,EG,1
99,2021-08-30 14:52:57+00,TRUE,El Soyof,EG,1
100,2021-08-30 14:52:57+00,TRUE,Ameria,EG,1
101,2021-08-30 14:52:57+00,TRUE,El Labban,EG,1
102,2021-08-30 14:52:57+00,TRUE,Al Mafrouza,EG,1
103,2021-08-30 14:52:57+00,TRUE,El Montaza,EG,1
104,2021-08-30 14:52:57+00,TRUE,Mansheya,EG,1
105,2021-08-30 14:52:57+00,TRUE,Naseria,EG,1
106,2021-08-30 14:52:57+00,TRUE,Ambrozo,EG,1
107,2021-08-30 14:52:57+00,TRUE,Bab Sharq,EG,1
108,2021-08-30 14:52:57+00,TRUE,Bourj Alarab,EG,1
109,2021-08-30 14:52:57+00,TRUE,Stanley,EG,1
110,2021-08-30 14:52:57+00,TRUE,Smouha,EG,1
111,2021-08-30 14:52:57+00,TRUE,Sidi Bishr,EG,1
112,2021-08-30 14:52:57+00,TRUE,Shads,EG,1
113,2021-08-30 14:52:57+00,TRUE,Gheet Alenab,EG,1
114,2021-08-30 14:52:57+00,TRUE,Fleming,EG,1
115,2021-08-30 14:52:57+00,TRUE,Victoria,EG,1
116,2021-08-30 14:52:57+00,TRUE,Camp Shizar,EG,1
117,2021-08-30 14:52:57+00,TRUE,Karmooz,EG,1
118,2021-08-30 14:52:57+00,TRUE,Mahta Alraml,EG,1
119,2021-08-30 14:52:57+00,TRUE,Mina El-Basal,EG,1
120,2021-08-30 14:52:57+00,TRUE,Asafra,EG,1
121,2021-08-30 14:52:57+00,TRUE,Agamy,EG,1
122,2021-08-30 14:52:57+00,TRUE,Bakos,EG,1
123,2021-08-30 14:52:57+00,TRUE,Boulkly,EG,1
124,2021-08-30 14:52:57+00,TRUE,Cleopatra,EG,1
125,2021-08-30 14:52:57+00,TRUE,Glim,EG,1
126,2021-08-30 14:52:57+00,TRUE,Al Mamurah,EG,1
127,2021-08-30 14:52:57+00,TRUE,Al Mandara,EG,1
128,2021-08-30 14:52:57+00,TRUE,Moharam Bek,EG,1
129,2021-08-30 14:52:57+00,TRUE,Elshatby,EG,1
130,2021-08-30 14:52:57+00,TRUE,Sidi Gaber,EG,1
131,2021-08-30 14:52:57+00,TRUE,North Coast/sahel,EG,1
132,2021-08-30 14:52:57+00,TRUE,Alhadra,EG,1
